cohort,rank,player,position,current_level,method,score,matched_on,disambiguated_by,mlbam_id,matched_name,mlb_debut_date
2023,69,Cam Collier,1B/3B,AA,exact,1.0,full_name,unique,702253,Cam Collier,
2023,70,Ryan Pepiot,RHP,MLB,exact,1.0,full_name,unique,686752,Ryan Pepiot,2022-05-11
2023,71,Luisangel Acuña,SS/OF/2B,MLB,exact,1.0,full_name,unique,682668,Luisangel Acuña,2024-09-14
2023,72,Carson Williams,SS,AAA,exact,1.0,full_name,unique,700246,Carson Williams,2025-08-22
2023,73,Kyle Manzardo,1B,MLB,exact,1.0,full_name,unique,700932,Kyle Manzardo,2024-05-06
2023,74,Jordan Westburg,INF,MLB,exact,1.0,full_name,unique,676059,Jordan Westburg,2023-06-26
2023,75,Brayan Rocchio,SS/2B,MLB,exact,1.0,full_name,unique,677587,Brayan Rocchio,2023-05-16
2023,76,Ken Waldichuk,LHP,MLB,exact,1.0,full_name,unique,686610,Ken Waldichuk,2022-09-01
2023,77,Tink Hence,RHP,AAA,exact,1.0,full_name,unique,693311,Tink Hence,
2023,78,Jack Leiter,RHP,MLB,exact,1.0,full_name,unique,683004,Jack Leiter,2024-04-18
2023,79,Gordon Graceffo,RHP,MLB,exact,1.0,full_name,unique,700669,Gordon Graceffo,2024-06-29
2023,80,Heston Kjerstad,OF,AAA,exact,1.0,full_name,unique,677008,Heston Kjerstad,2023-09-14
2023,81,Andy Pages,OF,MLB,exact,1.0,full_name,unique,681624,Andy Pages,2024-04-16
2023,82,Chase DeLauter,OF,MLB,exact,1.0,full_name,unique,800050,Chase DeLauter,2025-10-01
2023,83,Jace Jung,3B/2B,AAA,exact,1.0,full_name,unique,690291,Jace Jung,2024-08-16
2023,84,Drew Romo,C,MLB,exact,1.0,full_name,unique,691011,Drew Romo,2024-08-17
2023,85,Oscar Colás,OF,-,exact,1.0,full_name,unique,693049,Oscar Colás,2023-03-30
2023,86,Ceddanne Rafaela,OF/SS,MLB,exact,1.0,full_name,unique,678882,Ceddanne Rafaela,2023-08-28
2023,87,Kevin Alcántara,OF,AAA,exact,1.0,full_name,unique,682634,Kevin Alcántara,2024-09-25
2023,88,Emmanuel Rodriguez,OF,A+,exact,1.0,full_name,unique,691181,Emmanuel Rodriguez,
2023,89,Zach Neto,SS,MLB,exact,1.0,full_name,unique,687263,Zach Neto,2023-04-15
2023,90,Joey Wiemer,OF,AAA,exact,1.0,full_name,unique,686894,Joey Wiemer,2023-04-01
2023,91,Alec Burleson,OF,MLB,exact,1.0,full_name,unique,676475,Alec Burleson,2022-09-08
2023,92,Brennen Davis,OF,AAA,exact,1.0,full_name,unique,680695,Brennen Davis,
2023,93,Miguel Bleis,OF,AA,exact,1.0,full_name,unique,694194,Miguel Bleis,
2023,94,Brock Porter,RHP,A+,exact,1.0,full_name,unique,702548,Brock Porter,
2023,95,Wilmer Flores,RHP,AAA,exact_disambiguated,1.0,full_name,position,695865,Wilmer Flores,
2023,96,Alex Ramírez,OF,AA,exact_disambiguated,1.0,full_name,position+level,691267,Alex Ramírez,
2023,97,DL Hall,LHP,MLB,exact,1.0,full_name,unique,669084,DL Hall,2022-08-13
2023,98,Bryce Miller,RHP,MLB,exact,1.0,full_name,unique,682243,Bryce Miller,2023-05-02
2023,99,Joey Ortiz,INF,MLB,exact,1.0,full_name,unique,687401,Joey Ortiz,2023-04-27
2023,100,Dylan Lesko,RHP,A,exact,1.0,full_name,unique,702266,Dylan Lesko,
2024,1,Jackson Holliday,2B/SS,MLB,exact,1.0,full_name,unique,702616,Jackson Holliday,2024-04-10
2024,2,Jackson Chourio,OF,MLB,exact,1.0,full_name,unique,694192,Jackson Chourio,2024-03-29
2024,3,Paul Skenes,RHP,MLB,exact,1.0,full_name,unique,694973,Paul Skenes,2024-05-11
2024,4,Junior Caminero,3B/2B,MLB,exact,1.0,full_name,unique,691406,Junior Caminero,2023-09-23
2024,5,Evan Carter,OF,MLB,exact,1.0,full_name,unique,694497,Evan Carter,2023-09-08
2024,6,Wyatt Langford,OF,MLB,exact,1.0,full_name,unique,694671,Wyatt Langford,2024-03-28
2024,7,Dylan Crews,OF,MLB,exact,1.0,full_name,unique,686611,Dylan Crews,2024-08-26
2024,8,Ethan Salas,C,AAA,exact,1.0,full_name,unique,806956,Ethan Salas,
2024,9,Colson Montgomery,SS/3B,MLB,exact,1.0,full_name,unique,695657,Colson Montgomery,2025-07-04
2024,10,Walker Jenkins,OF,AAA,exact,1.0,full_name,unique,805805,Walker Jenkins,
2024,11,Jordan Lawlar,INF,MLB,exact,1.0,full_name,unique,691783,Jordan Lawlar,2023-09-07
2024,12,Jackson Merrill,SS/OF,MLB,exact,1.0,full_name,unique,701538,Jackson Merrill,2024-03-20
2024,13,Max Clark,OF,MLB,exact,1.0,full_name,unique,703601,Max Clark,2026-07-31
2024,14,James Wood,OF,MLB,exact,1.0,full_name,unique,695578,James Wood,2024-07-01
2024,15,Marcelo Mayer,INF,MLB,exact,1.0,full_name,unique,691785,Marcelo Mayer,2025-05-24
2024,16,Pete Crow-Armstrong,OF,MLB,exact,1.0,full_name,unique,691718,Pete Crow-Armstrong,2023-09-11
2024,17,Samuel Basallo,C/1B,MLB,exact,1.0,full_name,unique,694212,Samuel Basallo,2025-08-17
2024,18,Brooks Lee,INF,MLB,exact,1.0,full_name,unique,686797,Brooks Lee,2024-07-03
2024,19,Colton Cowser,OF,MLB,exact,1.0,full_name,unique,681297,Colton Cowser,2023-07-05
2024,20,Carson Williams,SS,AAA,exact,1.0,full_name,unique,700246,Carson Williams,2025-08-22
2024,21,Noelvi Marte,3B/SS,MLB,exact,1.0,full_name,unique,682622,Noelvi Marte,2023-08-19
2024,22,Colt Keith,3B/2B,MLB,exact,1.0,full_name,unique,690993,Colt Keith,2024-03-28
2024,23,Kyle Harrison,LHP,A+,exact,1.0,full_name,unique,690986,Kyle Harrison,2023-08-22
2024,24,Roman Anthony,OF,MLB,exact,1.0,full_name,unique,701350,Roman Anthony,2025-06-09
2024,25,Jackson Jobe,RHP,AA,exact,1.0,full_name,unique,695549,Jackson Jobe,2024-09-25
2024,26,Cade Horton,RHP,MLB,exact,1.0,full_name,unique,690990,Cade Horton,2025-05-10
2024,27,Andrew Painter,RHP,MLB,exact,1.0,full_name,unique,691725,Andrew Painter,2026-03-31
2024,28,Adael Amador,2B,AAA,exact,1.0,full_name,unique,691182,Adael Amador,2024-06-09
2024,29,Ricky Tiedemann,LHP,A,exact,1.0,full_name,unique,694357,Ricky Tiedemann,
2024,30,Coby Mayo,3B/1B,MLB,exact,1.0,full_name,unique,691723,Coby Mayo,2024-08-02
2024,31,Chase DeLauter,OF,MLB,exact,1.0,full_name,unique,800050,Chase DeLauter,2025-10-01
2024,32,Heston Kjerstad,OF,AAA,exact,1.0,full_name,unique,677008,Heston Kjerstad,2023-09-14
2024,33,Jacob Misiorowski,RHP,MLB,exact,1.0,full_name,unique,694819,Jacob Misiorowski,2025-06-12
2024,34,Rhett Lowder,RHP,MLB,exact,1.0,full_name,unique,695076,Rhett Lowder,2024-08-30
2024,35,Jeferson Quero,C,AAA,exact,1.0,full_name,unique,691620,Jeferson Quero,2026-03-29
2024,36,Robby Snelling,LHP,MLB,exact,1.0,full_name,unique,702281,Robby Snelling,2026-05-08
2024,37,Cole Young,2B/SS,MLB,exact,1.0,full_name,unique,702284,Cole Young,2025-05-31
2024,38,Harry Ford,C,MLB,exact,1.0,full_name,unique,695670,Harry Ford,2025-09-05
2024,39,Marco Luciano,SS,AAA,exact,1.0,full_name,unique,682617,Marco Luciano,2023-07-26
2024,40,Kyle Teel,C,MLB,exact,1.0,full_name,unique,691019,Kyle Teel,2025-06-06
2024,41,Jasson Domínguez,OF,MLB,exact,1.0,full_name,unique,691176,Jasson Domínguez,2023-09-01
2024,42,Emmanuel Rodriguez,OF,A+,exact,1.0,full_name,unique,691181,Emmanuel Rodriguez,
2024,43,Masyn Winn,SS,MLB,exact,1.0,full_name,unique,691026,Masyn Winn,2023-08-18
2024,44,Termarr Johnson,2B,AAA,exact,1.0,full_name,unique,702261,Termarr Johnson,
2024,45,Jett Williams,3B/SS/OF,AAA,exact,1.0,full_name,unique,702518,Jett Williams,
2024,46,Tyler Black,1B,AAA,exact,1.0,full_name,unique,672012,Tyler Black,2024-04-30
2024,47,Owen Caissie,OF,AAA,exact,1.0,full_name,unique,683357,Owen Caissie,2025-08-14
2024,48,Brady House,3B,MLB,exact,1.0,full_name,unique,691781,Brady House,2025-06-16
2024,49,Mick Abel,RHP,MLB,exact,1.0,full_name,unique,690953,Mick Abel,2025-05-18
2024,50,Noah Schultz,LHP,MLB,exact,1.0,full_name,unique,702273,Noah Schultz,2026-04-14
2024,51,Michael Busch,INF,MLB,exact,1.0,full_name,unique,683737,Michael Busch,2023-04-25
2024,52,Chase Dollander,RHP,MLB,exact,1.0,full_name,unique,801403,Chase Dollander,2025-04-06
2024,53,Drew Gilbert,OF,MLB,exact,1.0,full_name,unique,687551,Drew Gilbert,2025-08-08
2024,54,Matt Shaw,INF,MLB,exact,1.0,full_name,unique,807713,Matt Shaw,2025-03-18
2024,55,Curtis Mead,3B/2B,MLB,exact,1.0,full_name,unique,678554,Curtis Mead,2023-08-04
2024,56,Dylan Lesko,RHP,A,exact,1.0,full_name,unique,702266,Dylan Lesko,
2024,57,Noble Meyer,RHP,A+,exact,1.0,full_name,unique,800611,Noble Meyer,
2024,58,Xavier Isaac,1B,AA,exact,1.0,full_name,unique,800060,Xavier Isaac,
