mlbam_id,player,position,position_today,cohorts,mlb_debut_date,n_seasons_scored,first_crossing_season,first_base_crossing_season,debut_day_adj_war,debut_day_base_war,debut_day_rate_per_600,debut_reading_basis
690987,Robert Hassell III,OF,CF,2022#37;2023#35,2025-05-22,5,2021,2021,0.94,0.24,3.23,debut_season
690990,Cade Horton,RHP,P,2024#26,2025-05-10,3,2023,2023,0.77,0.59,4.3,debut_season
690993,Colt Keith,3B/2B,3B,2024#22,2024-03-28,3,2021,2022,5.96,2.86,6.2,carried_from_2023
691006,Kevin Parada,C,C,2023#36,,4,2023,2023,,,,never_debuted
691011,Drew Romo,C,C,2023#84,2024-08-17,4,2021,2021,3.52,2.03,5.7,debut_season
691016,Tyler Soderstrom,C/1B,LF,2022#56;2023#39,2023-07-14,3,2021,2021,2.6,1.31,5.13,debut_season
691019,Kyle Teel,C,C,2024#40,2025-06-06,2,2024,2024,2.46,1.61,6.93,debut_season
691023,Jordan Walker,OF/3B,RF,2022#30;2023#4,2023-03-30,2,2021,2021,5.7,2.07,6.38,carried_from_2022
691026,Masyn Winn,SS,SS,2023#50;2024#43,2023-08-18,3,2021,2022,4.38,2.27,5.28,debut_season
691176,Jasson Domínguez,OF,RF,2022#61;2023#47;2024#41,2023-09-01,3,2021,2022,3.99,0.63,4.72,debut_season
691181,Emmanuel Rodriguez,OF,CF,2023#88;2024#42,,6,2022,2022,,,,never_debuted
691182,Adael Amador,2B,2B,2023#68;2024#28,2024-06-09,4,2021,2022,1.48,0.23,4.24,debut_season
691267,Alex Ramírez,OF,OF,2023#96,,6,2021,2026,,,,never_debuted
691406,Junior Caminero,3B/2B,3B,2024#4,2023-09-23,2,2022,2022,5.53,2.3,6.5,debut_season
691587,Eury Pérez,RHP,P,2022#41;2023#13,2023-05-12,3,2021,2022,0.53,0.17,2.7,debut_season
691620,Jeferson Quero,C,C,2024#35,2026-03-29,3,2022,2022,1.96,1.1,4.0,carried_from_2025_over_4pa_tuneup
691718,Pete Crow-Armstrong,OF,CF,2023#28;2024#16,2023-09-11,2,2022,2022,4.53,1.59,5.44,debut_season
691723,Coby Mayo,3B/1B,3B,2024#30,2024-08-02,4,2021,2021,3.71,2.34,6.54,debut_season
691725,Andrew Painter,RHP,P,2023#6;2024#27,2026-03-31,2,2022,2022,1.87,1.18,2.37,carried_from_2025
691728,Zac Veen,OF,LF,2022#36;2023#27,2025-04-08,4,2021,2021,1.61,0.51,4.07,carried_from_2024_over_37pa_tuneup
691775,Ryan Clifford,1B/OF,1B,2024#97,,5,2022,2024,,,,never_debuted
691781,Brady House,3B,3B,2022#49;2024#48,2025-06-16,4,2022,2023,2.47,1.34,5.23,debut_season
691783,Jordan Lawlar,INF,LF,2022#23;2023#11;2024#11,2023-09-07,2,2022,2022,5.31,2.25,6.51,debut_season
691785,Marcelo Mayer,INF,2B,2022#14;2023#9;2024#15,2025-05-24,5,2021,2022,1.52,0.75,4.73,debut_season
692585,Yanquiel Fernández,OF,RF,2024#72,2025-07-02,4,2022,2025,1.95,0.87,4.31,debut_season
693049,Oscar Colás,OF,RF,2023#85,2023-03-30,1,2022,2022,1.67,1.13,2.03,carried_from_2022
693304,Nick Gonzales,2B/SS,3B,2022#20,2023-06-23,3,2021,2021,1.87,0.76,4.29,debut_season
693308,Nick Frasso,RHP,P,2024#80,,4,2022,2022,,,,never_debuted
693311,Tink Hence,RHP,P,2023#77;2024#64,,3,2022,2022,,,,never_debuted
694183,Cristian Hernández,SS/2B,SS,2022#92,,5,2023,2024,,,,never_debuted
694192,Jackson Chourio,OF,LF,2023#8;2024#2,2024-03-29,2,2022,2022,4.44,0.73,4.76,carried_from_2023
694194,Miguel Bleis,OF,RF,2023#93,,5,2022,,,,,never_debuted
694212,Samuel Basallo,C/1B,C,2024#17,2025-08-17,4,2022,2023,3.99,2.71,7.45,debut_season
694224,Gabriel Gonzalez,OF,RF,2024#79,2026-05-22,5,2022,2025,0.53,-0.27,1.62,debut_season
694297,Brandon Pfaadt,RHP,P,2023#59,2023-05-03,3,2021,2022,0.62,0.47,3.54,debut_season
694351,Jacob Berry,OF/3B,3B,2023#61,,5,2022,2025,,,,never_debuted
694357,Ricky Tiedemann,LHP,P,2023#32;2024#29,,2,2022,2022,,,,never_debuted
694358,Tekoah Roby,RHP,P,2024#99,,4,2022,2023,,,,never_debuted
694371,Tommy Troy,2B/OF,LF,2024#74,2026-05-24,3,2024,2025,1.88,1.04,5.49,debut_season
694377,Nick Yorke,2B/OF,3B,2022#55,2024-09-16,4,2021,2021,4.89,2.4,5.43,debut_season
694384,Nolan Schanuel,1B,1B,2024#95,2023-08-18,0,,,0.79,0.29,,"insufficient_sample (76 of 97 PA+BF scored, need 100)"
694462,Hurston Waldrep,RHP,P,2024#90,2024-06-09,1,2024,2024,0.81,0.3,2.26,debut_season
694497,Evan Carter,OF,CF,2023#41;2024#5,2023-09-08,3,2021,2022,4.3,1.24,5.59,debut_season
694633,Chase Hampton,RHP,P,2024#92,,2,2023,2023,,,,never_debuted
694671,Wyatt Langford,OF,LF,2024#6,2024-03-28,1,2023,2023,1.88,1.12,7.05,carried_from_2023
